Latitude; Longitude ;Altitude
-24.071943442818107;-47.0188594128294;702.8771362304688
-24.06569548979628;-47.02875744084023;712.334228515625
-24.059290147423912;-47.03853357039943;704.5023193359375
-24.052729390170708;-47.048184806986725;662.0490112304688
-24.046015240095866;-47.05770819594457;685.648681640625
-24.039149766202453;-47.06710082339532;711.0831298828125
-24.03213508377728;-47.076359817143626;754.2386474609375
-24.024973353716405;-47.08548234756383;734.2955932617188
-24.01766678183667;-47.09446562847194;743.332763671875
-24.010217618173314;-47.10330691798194;716.2786254882812
-24.002628156264123;-47.11200351934635;751.786376953125
-23.994900732420227;-47.12055278178055;777.3214721679688
-23.987037724983846;-47.128952101270656;777.2752075195312
-23.97904155357332;-47.13719892136482;772.135986328125
-23.97091467831553;-47.14529073394771;722.6210327148438
-23.96265959906625;-47.15322507999775;719.5528564453125
-23.95427885461832;-47.160999550327126;658.7610473632812
-23.94577502189836;-47.1686117863043;708.2877197265625
-23.93715071515193;-47.17605948055868;667.1837158203125
-23.928408585117687;-47.18334037766751;680.8155517578125
-23.91955131819064;-47.190452274824544;655.0460205078125
-23.91058163557493;-47.19739302249049;654.3720703125
-23.90150229242636;-47.20416052502501;683.7518920898438
-23.89231607698497;-47.21075274130012;711.869140625
-23.88302580969801;-47.2171676852948;743.4429931640625
-23.87363434233356;-47.22340342667077;793.8134155273438
-23.86414455708508;-47.22945809132919;847.248291015625
-23.854559365667267;-47.2353298619482;759.9478149414062
-23.844881708403552;-47.24101697850124;871.0455932617188
-23.83511455330533;-47.24651773875594;991.2509765625
-23.82526089514357;-47.25183049875361;1011.752685546875
-23.81532375451277;-47.256953673269024;922.57080078125
-23.80530617688789;-47.261885736250704;976.2451171875
-23.79521123167426;-47.26662522124136;1010.534484863281
-23.785042011251143;-47.27117072177862;1005.886352539062
-23.774801630008906;-47.27552089177582;1031.663818359375
-23.76449322338031;-47.27967444588297;957.3906860351562
-23.754119946866307;-47.28363015982768;955.846923828125
-23.743684975056432;-47.287386870736185;995.2418212890625
-23.73319150064434;-47.290943477434304;961.9835815429688
-23.72264273343866;-47.29429894072833;942.919677734375
-23.712041899369567;-47.29745228366596;975.8803100585938
-23.70139223949129;-47.30040259177705;877.2385864257812
-23.6906970089811;-47.30314901329445;875.5879516601562
-23.67995947613472;-47.30569075935461;875.7223510742188
-23.669182921358896;-47.3080271041783;893.93994140625
-23.658370636161216;-47.31015738523131;840.7804565429688
-23.6475259221374;-47.31208100336501;929.8253173828125
-23.63665208995668;-47.31379742293715;890.20703125
-23.62575245834535;-47.31530617191262;836.1705322265625
-23.61483035306885;-47.3166068419444;862.4114379882812
-23.60388910591277;-47.31769908843472;845.201904296875
-23.59293205366301;-47.3185826305764;899.4686889648438
-23.58196253708544;-47.3192572513746;906.848388671875
-23.570983899905407;-47.31972279764889;993.0768432617188
-23.55999948778737;-47.31997918001585;1004.058410644531
-23.5490126473149;-47.32002637285215;903.45458984375
-23.53802672497154;-47.31986441423835;805.6964721679688
-23.52704506612261;-47.31949340588341;782.7635498046875
