Latitude; Longitude 
-23.844881708403552;-46.02559902149877
-23.854559365667267;-46.031286138051804
-23.864144557085073;-46.037157908670814
-23.87363434233356;-46.043212573329235
-23.883025809698015;-46.0494483147052
-23.89231607698497;-46.05586325869989
-23.901502292426354;-46.062455474974996
-23.91058163557493;-46.06922297750951
-23.919551318190642;-46.076163725175455
-23.928408585117687;-46.083275622332486
-23.93715071515193;-46.09055651944133
-23.94577502189836;-46.09800421369571
-23.95427885461832;-46.10561644967288
-23.962659599066246;-46.11339092000225
-23.970914678315534;-46.12132526605229
-23.979041553573314;-46.129417078635186
-23.987037724983846;-46.13766389872936
-23.994900732420227;-46.14606321821945
-24.002628156264123;-46.154612480653654
-24.010217618173314;-46.16330908201807
-24.01766678183667;-46.17215037152807
-24.024973353716405;-46.181133652436166
-24.032135083777277;-46.19025618285637
-24.039149766202453;-46.199515176604685
-24.046015240095866;-46.20890780405543
-24.052729390170708;-46.218431193013274
-24.05929014742391;-46.22808242960057
-24.06569548979628;-46.23785855915977
-24.071943442818107;-46.2477565871706
-24.07803208023998;-46.25777348018174
-24.083959524648606;-46.26790616675666
-24.089723948067363;-46.278151538433335
-24.095323572541425;-46.288506450697504
-24.100756670707213;-46.298967723969085
-24.106021566345902;-46.30953214460155
-24.111116634920936;-46.32019646589379
-24.116040304099187;-46.33095740911419
-24.12079105425562;-46.34181166453652
-24.125367418961364;-46.3527558924873
-24.129767985454862;-46.36378672440429
-24.133991395095997;-46.37490076390569
-24.138036343803087;-46.3860945878697
-24.141901582472418;-46.39736474752405
-24.14558591738035;-46.40870776954509
-24.149088210567687;-46.42012015716605
-24.15240738020628;-46.43159839129414
-24.15554240094763;-46.44313893163589
-24.158492304253443;-46.45473821783059
-24.161256178707962;-46.46639267059115
-24.163833170311964;-46.478098692852186
-24.166222482758325;-46.4898526709247
-24.168423377689027;-46.5016509756571
-24.170435174933537;-46.513489963602005
-24.172257252728457;-46.52536597818849
-24.17388904791833;-46.53727535089926
